HHID,health_pca_norm,health_adjusted_norm
10,0.06954777919611206,0.2747852747852748
11,0.07117367361332004,0.284037558685446
12,0.06202520100029463,0.17647058823529413
20,0.05926667829184946,0.2601509915364769
21,0.06129943222349208,0.251003626003626
22,0.047785221145799646,0.22763347763347763
30,0.05860302159322994,0.26624570928368396
31,0.062543442507572,0.2723707664884135
32,0.020076950762841144,0.24203574203574205
33,0.04485071807423894,0.21548821548821548
40,0.06643309306159584,0.2684038077512166
41,0.06921936882965685,0.2702928566237919
42,0.07230317157687538,0.22950434578341555
43,0.06746186728965645,0.19444444444444445
50,0.05610308389463811,0.2762839664248115
51,0.07126131990220645,0.2702984038861902
52,0.039858984319374735,0.2914862914862915
60,0.05831660294675997,0.25993071368793913
61,0.05820716005513915,0.271555332328813
62,0.024556845569499126,0.1888111888111888
63,0.11343836606432145,0.1773288439955107
70,0.06066209548113397,0.26100686220926705
71,0.06264374284957382,0.25389767237593325
72,0.029896604253666872,0.20015948963317384
73,0.05740308551623432,0.14949494949494951
80,0.061365301351721864,0.25693080113512334
81,0.07891609068374587,0.2995529061102832
82,0.052830057522246975,0.23863636363636365
83,0.04683685654546467,0.26515151515151514
84,0.17520948662669425,0.29966329966329963
85,0.14838474409292468,0.21464646464646467
86,0.1445859419289526,0.17676767676767674
90,0.062100883605232325,0.2660505050505051
91,0.07453017594303198,0.27299544113703406
92,0.11154159945932474,0.3038073038073038
100,0.05709092434672983,0.2573700808994927
101,0.04603036767772078,0.2776936026936027
102,0.01850790313776481,0.3232323232323232
103,0.07426676571519482,0.12554112554112556
110,0.06253095201055318,0.26899235177380876
111,0.06734884070445835,0.27668436946787467
112,0.10938701767187496,0.17239057239057237
120,0.06118242107348645,0.2528470729909579
121,0.07941049229701093,0.29797979797979796
122,0.03494123240830732,0.15045188729399256
123,0.038445275614445176,0.1414141414141414
124,0.040462116141511816,0.14747474747474748
130,0.059788025633907144,0.2733430562307568
131,0.05942036611556406,0.3046939988116459
132,0.04555426174945224,0.24831649831649835
140,0.05899031169973268,0.2587920489296636
141,0.030709416208240803,0.2590679522497705
142,0.023263869032078124,0.1548821548821549
150,0.054344955896424456,0.25882588258825884
151,0.04707545714233119,0.24494949494949494
152,0.13003937394493403,0.2837465564738292
153,0.10028270485521196,0.24915824915824913
154,0.04254924145734764,0.21548821548821548
160,0.05666841535211596,0.25964893053500654
161,0.05815231583307557,0.25117845117845117
162,0.07546446819565578,0.1722783389450056
163,0.07006648378441264,0.15295815295815296
170,0.05667680667199185,0.26059178355998147
171,0.04032377411387545,0.2658585858585859
172,0.06404468919161665,0.36363636363636365
173,0.020290189861661145,0.20538720538720537
174,0.053433816115828335,0.13636363636363638
180,0.06375450833777212,0.2696267696267697
181,0.04967673032237702,0.24613955648438407
190,0.06113197468920607,0.2790046211098843
191,0.06745715701670228,0.29310344827586204
192,0.04536315604998419,0.15656565656565657
200,0.06342721570054084,0.2640306811429806
201,0.04097862046382218,0.2662004662004662
202,0.059918398930896316,0.23863636363636365
210,0.06800056147435402,0.24800637958532695
211,0.0688827716460987,0.2583838383838384
212,0.013668236243057814,0.2579124579124579
213,0.0,0.2558922558922559
220,0.08848478829499856,0.3256959842325696
221,0.061972164072369,0.27272727272727276
230,0.05005102495627685,0.3099965168930686
231,0.06330481919085987,0.27946127946127947
232,0.03082644318973696,0.14935064935064934
233,0.07274094863165452,0.12499999999999999
240,0.09343195385373025,0.20465524813350902
241,0.05095794786542846,0.2243120863810519
250,0.05694619637311383,0.2382360187238236
251,0.08238508876913507,0.3535353535353536
252,0.039239870148960805,0.2459893048128342
253,0.054385967599088314,0.18383838383838386
260,0.09022153853548052,0.27028909787530475
261,0.05867128514389023,0.24635241301907967
262,0.06481907858582622,0.212962962962963
263,0.13020776391480235,0.17929292929292925
270,0.06684021578128829,0.23280423280423282
271,0.05017056426785216,0.22839506172839505
272,0.03095424479489131,0.2363636363636364
280,0.06974272331095724,0.2994227994227994
281,0.038578788754812146,0.3006734006734007
290,0.06920318189658974,0.2244668911335578
291,0.08777645913269999,0.25446775446775444
300,0.042007846029010934,0.22929292929292933
301,0.07178586648162616,0.3002020202020202
302,0.03776758966624846,0.29040404040404044
303,0.2523763772947531,0.3968253968253968
310,0.058124979624464224,0.2337662337662338
311,0.06109842681194914,0.2540216984661429
312,0.012270204454514929,0.21085858585858588
313,0.0962348680430966,0.3501683501683502
320,0.02759317878736362,0.28042328042328046
321,0.07678248366205502,0.22727272727272727
330,0.030934992992749776,0.23415977961432508
331,0.0918660862136763,0.261952861952862
340,0.027076815127700903,0.2080808080808081
341,0.061744725491372957,0.18365472910927458
350,0.14118641029275159,0.1515151515151515
351,0.0,0.29581529581529586
360,0.014460963051872203,0.18097643097643099
361,0.08534665192863312,0.2683982683982684
371,0.10371477982132041,0.35757575757575755
381,0.07989840148593887,0.23905723905723908
391,0.03498707294094917,0.32491582491582494
401,0.012064392944719204,0.24848484848484848
411,0.05876111195605654,0.2547699214365881
421,0.0489737550036687,0.1537598204264871
431,0.13908410321610098,0.19283746556473827
441,0.02861196666648486,0.2534435261707989
451,0.04037609492211602,0.16712580348943987
461,0.09415415913310232,0.41750841750841755
462,0.039392226916657606,0.22020202020202023
471,0.0727907928853406,0.7323232323232323
481,0.013806015356424834,0.22895622895622894
491,0.06275735060306654,0.2352092352092352
501,0.04596602145299895,0.2085137085137085
511,0.05879337418750689,0.22222222222222224
521,0.06728752698110912,0.21028466483011937
