,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,0.002849072670929412,0.025572582470196246,0.11141122232179268,0.9112902613382284,-0.047272267962335565,0.052970413304194386
MB3,1.5835071706555583,0.17072040322042065,9.275441838144323,1.7688438212035716e-20,1.248901328917378,1.9181130123937387
MB4,3.3615873353194585,0.1697367049336173,19.80471658522032,2.7108401656289707e-87,3.0289095067950664,3.6942651638438506
MB5,2.047454561967566,0.11027612247291005,18.566617288076433,5.985720285795932e-77,1.831317333565934,2.2635917903691976
MB6,2.774723251645031,0.16953114675883735,16.367041128979974,3.288160013351556e-60,2.442448309739935,3.1069981935501265
MB7,1.9471307240932467,0.17857379448708152,10.903787589248472,1.1055721974972792e-27,1.5971325183159097,2.297128929870584
MB8,2.315865499070961,0.4284477424026958,5.405246124261967,6.471946039616608e-08,1.4761233547041828,3.1556076434377394
MB9,2.637082243527041,1.0121593293078455,2.6054022989941537,0.009176644106439336,0.6532864114674477,4.620878075586635
MB10,2.79055153139742,0.12340515837801846,22.612924516893507,3.2338674346406015e-113,2.5486818654700425,3.0324211973247976
MB11,1.042505112051074,0.442794818274187,2.3543751395156005,0.018553875829200674,0.17464321569270935,1.9103670084094386
MB12,1.7218087396280843,0.5016774147698742,3.4321033575288613,0.0005989192564363914,0.7385390748219685,2.7050784044342002
MB13,3.3202383473758506,0.3617223260766782,9.178969911500634,4.3523476786678406e-20,2.6112756158615076,4.0292010788901935
MB14,2.924934915903595,0.3011114713799126,9.71379437156415,2.633469925972045e-22,2.3347672766671033,3.515102555140087
MB15,1.5531669160683679,1.691792343206516,0.9180600221446763,0.3585874430934054,-1.7626851459370299,4.869018978073766
MB16,3.429149091499792,0.1947015278239957,17.612337868245387,1.9809164542182743e-69,3.047541109229837,3.810757073769747
MB17,3.6183923522613073,0.039720540713578646,91.0962511400139,0.0,3.5405415230162363,3.6962431815063783
RO5,0.005274290195175091,0.0005936069379501981,8.885155913756503,6.383118743390908e-19,0.004110841975819601,0.006437738414530582
RO3,-0.002671932429297047,0.01590248548385281,-0.1680197999243637,0.8665677024272155,-0.033840231242319566,0.028496366383725474
